created_at,"field1(Temperature ºC )",field2(Humidity),field3(Light),field4(Voltage),"field5(WIFI RSSI)",field6(),field7(),"field8(External Temperature Probe ºC )",field9(),field10(),field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc,vfield1
2025-06-04T18:34:51-04:00,25.0401,49.3172,404.55,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.89
2025-06-04T18:34:55-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:35:52-04:00,25.0694,49.3217,404.1,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.92
2025-06-04T18:35:56-04:00,,,,,-62,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:36:52-04:00,25.1255,49.2714,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.98
2025-06-04T18:36:53-04:00,,,404.1,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:36:56-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:37:52-04:00,25.1095,49.2454,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.96
2025-06-04T18:37:53-04:00,,,403.65,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:37:56-04:00,,,,,-60,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:38:52-04:00,25.1095,49.221,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.96
2025-06-04T18:38:53-04:00,,,403.5,2.7417,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:38:56-04:00,,,,,-59,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:39:52-04:00,25.0961,49.2775,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.95
2025-06-04T18:39:53-04:00,,,403.35,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:39:56-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:40:52-04:00,25.1389,49.2592,403.2,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.99
2025-06-04T18:40:56-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:41:52-04:00,25.1095,49.2805,403.2,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.96
2025-06-04T18:41:56-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:42:52-04:00,25.1255,49.2348,403.05,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.98
2025-06-04T18:42:56-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:43:52-04:00,25.0961,49.2302,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.94
2025-06-04T18:43:53-04:00,,,402.9,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:43:56-04:00,,,,,-60,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:44:52-04:00,25.1255,49.2912,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.98
2025-06-04T18:44:53-04:00,,,387.3,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:44:56-04:00,,,,,-63,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:45:53-04:00,25.1255,49.2714,402.15,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,24.98
2025-06-04T18:45:57-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:46:53-04:00,25.1656,49.2866,402.15,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.02
2025-06-04T18:46:57-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:47:53-04:00,25.1522,49.2851,402.15,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.01
2025-06-04T18:47:57-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:48:53-04:00,25.1522,49.3095,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.01
2025-06-04T18:48:54-04:00,,,402,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:48:58-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:49:53-04:00,25.2216,49.2485,402,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.08
2025-06-04T18:49:57-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:50:53-04:00,25.2083,49.2683,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.07
2025-06-04T18:50:54-04:00,,,401.7,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:50:57-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:51:53-04:00,25.1816,49.2409,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.04
2025-06-04T18:51:54-04:00,,,401.55,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:51:57-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:52:53-04:00,25.1949,49.2439,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.06
2025-06-04T18:52:54-04:00,,,401.4,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:52:57-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:53:53-04:00,25.1816,49.3004,401.4,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.04
2025-06-04T18:53:57-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:54:53-04:00,25.1949,49.3141,401.1,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.06
2025-06-04T18:54:57-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:55:53-04:00,25.2083,49.34,401.25,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.07
2025-06-04T18:55:57-04:00,,,,,-58,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:56:53-04:00,25.2216,49.2592,401.25,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.08
2025-06-04T18:56:57-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:57:53-04:00,25.1949,49.2668,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.06
2025-06-04T18:57:54-04:00,,,401.1,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:57:57-04:00,,,,,-62,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:58:53-04:00,25.2216,49.2134,401.1,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.08
2025-06-04T18:58:57-04:00,,,,,-62,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:59:53-04:00,25.251,49.25,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.12
2025-06-04T18:59:54-04:00,,,400.65,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T18:59:57-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:00:54-04:00,25.2377,49.2393,400.65,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.1
2025-06-04T19:00:58-04:00,,,,,-63,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:01:54-04:00,25.2644,49.218,400.35,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.13
2025-06-04T19:01:58-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:02:54-04:00,25.2777,49.2317,400.05,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.14
2025-06-04T19:02:58-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:03:54-04:00,25.3071,49.163,399.9,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.18
2025-06-04T19:03:58-04:00,,,,,-62,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:04:54-04:00,25.2644,49.1478,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.13
2025-06-04T19:04:55-04:00,,,399.75,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:04:58-04:00,,,,,-62,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:05:54-04:00,25.3071,49.1997,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.18
2025-06-04T19:05:55-04:00,,,399.75,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:05:58-04:00,,,,,-62,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:06:54-04:00,25.3338,49.1341,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.21
2025-06-04T19:06:55-04:00,,,399.15,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:06:58-04:00,,,,,-62,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:07:54-04:00,25.3632,49.102,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.24
2025-06-04T19:07:55-04:00,,,399.15,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:07:58-04:00,,,,,-60,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:08:54-04:00,25.3632,49.0898,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.24
2025-06-04T19:08:55-04:00,,,399.15,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:08:58-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:09:54-04:00,25.3632,49.0791,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.24
2025-06-04T19:09:55-04:00,,,399,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:09:58-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:10:54-04:00,25.3765,49.0578,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.25
2025-06-04T19:10:55-04:00,,,398.7,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:10:58-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:11:54-04:00,25.3899,49.0837,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.27
2025-06-04T19:11:55-04:00,,,398.7,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:11:58-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:12:54-04:00,25.3765,49.044,398.4,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.25
2025-06-04T19:12:58-04:00,,,,,-60,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:13:54-04:00,25.3498,49.0761,398.1,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.22
2025-06-04T19:13:58-04:00,,,,,-62,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:14:54-04:00,25.4059,49.1203,397.8,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.28
2025-06-04T19:14:58-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:15:54-04:00,25.3899,49.1066,397.65,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.27
2025-06-04T19:15:58-04:00,,,,,-60,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:16:54-04:00,25.4059,49.0028,397.5,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.28
