created_at,"field1(Temperature ºC )",field2(Humidity),field3(Voltage),"field4(WIFI RSSI)",field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-06-04T17:40:30-04:00,,,,-54,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:41:28-04:00,22.4712,55.79,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:41:29-04:00,,,,-54,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:42:28-04:00,22.4872,55.8144,4.0293,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:42:30-04:00,,,,-54,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:43:29-04:00,22.4712,55.8099,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:43:31-04:00,,,,-58,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:44:29-04:00,22.4872,55.8038,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:44:30-04:00,,,,-54,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:45:29-04:00,22.4712,55.845,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:45:31-04:00,,,,-54,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:46:30-04:00,22.4712,55.9106,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:46:32-04:00,,,,-55,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:47:30-04:00,22.4578,55.8877,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:47:31-04:00,,,,-55,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:48:29-04:00,22.4578,55.9335,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:48:31-04:00,,,,-54,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:49:30-04:00,22.4445,55.9655,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:49:32-04:00,,,,-55,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:50:30-04:00,22.4445,55.8862,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:50:31-04:00,,,,-54,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:51:29-04:00,22.4578,55.9548,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:51:31-04:00,,,,-59,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:52:30-04:00,22.4445,55.8969,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:52:32-04:00,,,,-54,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:53:31-04:00,22.4712,55.9564,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:53:33-04:00,,,,-54,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:54:30-04:00,22.4151,56.0281,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:54:32-04:00,,,,-54,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:55:31-04:00,22.4311,56.1196,4.0293,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:55:33-04:00,,,,-59,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:56:32-04:00,22.4445,56.144,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:56:34-04:00,,,,-55,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:57:31-04:00,22.4712,56.2844,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:57:33-04:00,,,,-55,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:58:32-04:00,22.4311,56.0754,4.0293,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:58:34-04:00,,,,-59,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:59:33-04:00,22.4712,56.2264,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T17:59:35-04:00,,,,-56,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:00:33-04:00,22.4578,56.2615,4.0219,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:00:34-04:00,,,,-80,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:01:33-04:00,22.4712,56.1608,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:01:35-04:00,,,,-59,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:02:34-04:00,22.4712,56.2615,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:02:36-04:00,,,,-55,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:03:34-04:00,22.4872,56.286,4.0293,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:03:35-04:00,,,,-56,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:04:34-04:00,22.4872,56.3317,4.0293,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:04:36-04:00,,,,-56,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:05:35-04:00,22.5006,56.3348,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:05:37-04:00,,,,-83,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:06:35-04:00,22.5006,56.3348,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:06:36-04:00,,,,-56,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:07:34-04:00,22.5273,56.17,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:07:36-04:00,,,,-56,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:08:35-04:00,22.5273,56.3043,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:08:37-04:00,,,,-56,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:09:35-04:00,22.5433,56.0281,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
