created_at,"field1(Temperature ºC )",field2(Humidity),field3(Light),field4(Voltage),"field5(WIFI RSSI)",field6(),field7(),"field8(External Temperature Probe ºC )",field9(),field10(),field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc,vfield1
2025-05-28T11:44:52-04:00,,,,,-32,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T11:44:40-04:00,20.8824,55.7137,0.3,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.48
2025-05-28T11:39:51-04:00,,,,,-33,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T11:39:39-04:00,20.869,55.668,0.3,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.47
2025-05-28T11:34:52-04:00,,,,,-32,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T11:34:40-04:00,,55.639,0.3,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T11:34:39-04:00,20.869,,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T11:29:52-04:00,,,,,-33,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T11:29:39-04:00,20.869,55.5947,0.3,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.46
2025-05-28T11:24:52-04:00,,,,,-32,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T11:24:40-04:00,,55.6085,0.3,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T11:24:39-04:00,20.8824,,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T11:19:52-04:00,,,,,-32,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T11:19:39-04:00,20.8824,55.5657,0.45,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.48
2025-05-28T11:14:51-04:00,,,,,-31,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T11:14:39-04:00,,,0.45,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T11:14:38-04:00,20.8824,55.5535,,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.48
2025-05-28T11:09:52-04:00,,,,,-32,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T11:09:39-04:00,,55.5306,0.45,2.849,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T11:09:38-04:00,20.8824,,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T11:04:52-04:00,,,,,-32,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T11:04:38-04:00,20.8824,55.4696,0.3,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.47
2025-05-28T10:59:51-04:00,,,,,-34,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T10:59:39-04:00,,55.4894,0.3,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T10:59:38-04:00,20.8957,,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T10:54:51-04:00,,,,,-31,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T10:54:38-04:00,20.8957,55.4376,0.3,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.49
2025-05-28T10:49:50-04:00,,,,,-33,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T10:49:38-04:00,,55.3979,0.3,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T10:49:37-04:00,20.9251,,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T10:44:51-04:00,,,,,-33,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T10:44:38-04:00,,55.3918,0.3,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T10:44:37-04:00,20.9384,,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T10:39:50-04:00,,,,,-31,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T10:39:37-04:00,20.9812,55.3872,0.3,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.58
2025-05-28T10:34:46-04:00,,,,,-33,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T10:34:38-04:00,,55.4162,0.3,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T10:34:37-04:00,20.9651,,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T10:29:45-04:00,,,,,-35,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T10:29:37-04:00,20.853,55.5611,0.3,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.44
2025-05-28T10:24:45-04:00,,,,,-31,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T10:24:38-04:00,,55.4803,0.3,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T10:24:37-04:00,20.7569,,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T10:19:45-04:00,,,,,-31,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T10:19:37-04:00,20.7702,55.4391,0.3,2.8453,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.35
