created_at,"field1(Temperature ºC )",field2(Humidity),field3(Light),field4(Voltage),"field5(WIFI RSSI)",field6(),field7(),"field8(External Temperature Probe ºC )",field9(),field10(),field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc,vfield1
2025-06-02T11:45:28-04:00,,,343.05,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:45:31-04:00,,,,,-38,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:46:27-04:00,23.7156,33.3501,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.01
2025-06-02T11:46:28-04:00,,,343.35,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:46:31-04:00,,,,,-38,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:47:27-04:00,23.7556,33.3684,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.06
2025-06-02T11:47:28-04:00,,,341.55,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:47:31-04:00,,,,,-38,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:48:27-04:00,23.7423,33.3257,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.04
2025-06-02T11:48:28-04:00,,,343.5,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:48:31-04:00,,,,,-40,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:49:27-04:00,23.7717,33.2586,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.07
2025-06-02T11:49:28-04:00,,,343.65,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:49:31-04:00,,,,,-40,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:50:27-04:00,23.7556,33.2021,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.06
2025-06-02T11:50:28-04:00,,,344.1,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:50:31-04:00,,,,,-40,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:51:27-04:00,23.7717,33.1899,343.05,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.07
2025-06-02T11:51:31-04:00,,,,,-41,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:52:27-04:00,23.8117,33.1395,343.95,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.11
2025-06-02T11:52:31-04:00,,,,,-38,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:53:27-04:00,23.8277,33.0846,344.55,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.13
2025-06-02T11:53:31-04:00,,,,,-40,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:54:27-04:00,23.8544,33.1426,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.16
2025-06-02T11:54:28-04:00,,,343.2,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:54:31-04:00,,,,,-41,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:55:27-04:00,23.8544,33.0877,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.16
2025-06-02T11:55:28-04:00,,,348.3,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:55:31-04:00,,,,,-41,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:56:27-04:00,23.8411,33.1151,348,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.14
2025-06-02T11:56:31-04:00,,,,,-41,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:57:27-04:00,23.8277,33.0159,347.7,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.13
2025-06-02T11:57:31-04:00,,,,,-41,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:58:27-04:00,23.8544,33.0877,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.16
2025-06-02T11:58:28-04:00,,,348.45,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:58:31-04:00,,,,,-38,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:59:27-04:00,23.8411,33.0739,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.14
2025-06-02T11:59:28-04:00,,,345.6,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T11:59:31-04:00,,,,,-42,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:00:27-04:00,23.8544,33.1838,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.16
2025-06-02T12:00:28-04:00,,,343.2,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:00:31-04:00,,,,,-66,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:01:27-04:00,23.8838,33.2021,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.19
2025-06-02T12:01:28-04:00,,,341.85,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:01:31-04:00,,,,,-66,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:02:27-04:00,23.9105,33.08,343.05,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.22
2025-06-02T12:02:31-04:00,,,,,-66,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:03:27-04:00,23.9426,33.0388,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.26
2025-06-02T12:03:28-04:00,,,345.15,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:03:31-04:00,,,,,-65,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:04:27-04:00,23.9105,33.08,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.22
2025-06-02T12:04:28-04:00,,,343.8,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:04:31-04:00,,,,,-65,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:05:27-04:00,23.9105,33.08,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.22
2025-06-02T12:05:28-04:00,,,341.7,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:05:34-04:00,,,,,-83,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:06:27-04:00,24.0681,32.8588,344.7,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.39
2025-06-02T12:06:31-04:00,,,,,-66,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:07:27-04:00,24.0253,32.9107,345.45,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.34
2025-06-02T12:07:31-04:00,,,,,-71,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:08:27-04:00,24.0387,32.8557,344.7,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.36
2025-06-02T12:08:31-04:00,,,,,-66,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:09:27-04:00,24.0814,32.8588,338.25,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.41
2025-06-02T12:09:31-04:00,,,,,-66,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:10:27-04:00,24.012,32.8542,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.33
2025-06-02T12:10:28-04:00,,,338.25,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:10:31-04:00,,,,,-66,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:11:27-04:00,24.0253,32.9366,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.34
2025-06-02T12:11:28-04:00,,,338.4,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:11:31-04:00,,,,,-66,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:12:27-04:00,24.012,32.9335,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.33
2025-06-02T12:12:28-04:00,,,336.6,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:12:31-04:00,,,,,-67,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:13:27-04:00,23.9826,32.9747,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.3
2025-06-02T12:13:28-04:00,,,337.05,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:13:31-04:00,,,,,-40,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:14:27-04:00,23.9826,32.9473,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.29
2025-06-02T12:14:28-04:00,,,337.65,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:14:31-04:00,,,,,-37,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:15:27-04:00,24.0253,32.9366,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.34
2025-06-02T12:15:28-04:00,,,338.1,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:15:31-04:00,,,,,-38,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:16:27-04:00,24.012,32.8923,338.7,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.33
2025-06-02T12:16:31-04:00,,,,,-41,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:17:27-04:00,24.0387,32.8954,339.75,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.36
2025-06-02T12:17:31-04:00,,,,,-40,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:18:27-04:00,23.9986,32.8084,341.55,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.31
2025-06-02T12:18:31-04:00,,,,,-38,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:19:27-04:00,24.012,32.8817,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.33
2025-06-02T12:19:28-04:00,,,338.1,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:19:31-04:00,,,,,-40,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:20:27-04:00,24.012,32.8542,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.33
2025-06-02T12:20:28-04:00,,,340.8,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:20:31-04:00,,,,,-41,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:21:27-04:00,24.012,32.8923,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.33
2025-06-02T12:21:28-04:00,,,350.1,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:21:31-04:00,,,,,-40,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:22:27-04:00,23.9986,32.8511,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.31
2025-06-02T12:22:28-04:00,,,342.75,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:22:31-04:00,,,,,-40,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:23:27-04:00,24.0253,32.7825,343.95,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.34
2025-06-02T12:23:34-04:00,,,,,-66,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-02T12:24:27-04:00,24.1241,32.6543,343.8,5,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,23.44
2025-06-02T12:24:31-04:00,,,,,-66,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
