created_at,"field1(Temperature ºC )",field2(Humidity),field3(Voltage),"field4(WIFI RSSI)",field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-06-02T11:54:48-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:55:46-04:00,22.9786,34.4884,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:55:48-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:56:45-04:00,22.9786,34.4991,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:56:47-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:57:46-04:00,22.9492,34.6044,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:57:49-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:58:47-04:00,22.9492,34.5907,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:58:49-04:00,,,,-65,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:59:46-04:00,23.0053,34.4381,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T11:59:48-04:00,,,,-69,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:00:47-04:00,23.0053,34.5159,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:00:52-04:00,,,,-65,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:01:48-04:00,23.0213,34.6899,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:01:50-04:00,,,,-65,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:02:47-04:00,23.0213,34.6365,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:02:49-04:00,,,,-65,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:03:48-04:00,23.048,34.4945,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:03:50-04:00,,,,-68,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:04:49-04:00,23.0213,34.4244,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:04:51-04:00,,,,-65,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:05:48-04:00,23.048,34.5861,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:05:51-04:00,,,,-66,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:06:49-04:00,23.0613,34.5357,4.0922,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:06:51-04:00,,,,-66,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:07:50-04:00,23.0213,34.4533,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:07:52-04:00,,,,-70,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:08:50-04:00,23.0346,34.3877,4.0922,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:08:51-04:00,,,,-64,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:09:50-04:00,23.0213,34.5815,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:09:53-04:00,,,,-84,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:10:51-04:00,23.0213,34.5983,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:10:53-04:00,,,,-66,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:11:51-04:00,22.9919,34.609,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:11:52-04:00,,,,-65,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:12:51-04:00,23.0053,34.6899,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:12:53-04:00,,,,-64,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:13:52-04:00,23.048,34.6258,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:13:54-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:14:52-04:00,23.0346,34.5342,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:14:53-04:00,,,,-40,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:15:51-04:00,23.0907,34.5891,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:15:53-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:16:52-04:00,23.0907,34.406,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:16:54-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:17:52-04:00,23.1041,34.4472,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:17:53-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:18:51-04:00,23.1174,34.461,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:18:53-04:00,,,,-41,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:19:52-04:00,23.0907,34.287,4.0922,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
