timestamp,raspi_Temperature (°C),raspi_Humidity (%),raspi_Pressure (hPa),raspi_Gas Resistance (Ω),raspi_Violet (450nm),raspi_Blue (500nm),raspi_Green (550nm),raspi_Yellow (570nm),raspi_Orange (600nm),raspi_Red (650nm),raspi_Ambient Light (lux)
2025-06-02 00:00:00+00:00,33.05,16.13,1013.71,102400000,4.69,6.42,12.5,13.37,15.97,10.81,415.56
2025-06-02 00:00:00+00:00,33.29,16.08,1013.72,102400000,4.69,6.42,12.5,13.37,15.97,10.81,416.64
2025-06-02 00:00:00+00:00,33.45,16.23,1013.73,102400000,4.69,6.42,12.5,13.37,15.97,10.81,413.41
2025-06-02 00:00:00+00:00,33.65,15.96,1013.75,102400000,4.69,6.42,12.5,13.37,15.97,10.81,416.1
2025-06-02 00:00:00+00:00,34.07,15.21,1013.74,102400000,4.69,6.42,12.5,13.37,15.97,10.81,415.03
2025-06-02 00:00:00+00:00,34.25,15.19,1013.74,102400000,4.69,6.42,12.5,13.37,16.97,10.81,408.58
2025-06-02 00:00:00+00:00,34.01,16.46,1013.73,102400000,4.69,7.7,12.5,13.37,16.97,10.81,409.11
2025-06-02 00:00:00+00:00,33.63,17.19,1013.76,102400000,4.69,6.42,11.37,13.37,15.97,9.91,411.26
2025-06-02 00:00:00+00:00,33.19,17.76,1013.73,102400000,4.69,6.42,12.5,13.37,15.97,10.81,412.88
2025-06-02 00:00:00+00:00,32.74,18.25,1013.72,102400000,4.69,6.42,12.5,13.37,15.97,10.81,412.88
2025-06-02 00:00:00+00:00,32.3,18.66,1013.71,102400000,4.69,7.7,12.5,13.37,16.97,10.81,415.03
2025-06-02 00:00:00+00:00,31.89,19.03,1013.72,102400000,4.69,6.42,12.5,13.37,15.97,10.81,418.25
2025-06-02 00:00:00+00:00,31.51,19.34,1013.68,102400000,4.69,7.7,12.5,13.37,15.97,10.81,417.18
2025-06-02 00:00:00+00:00,31.19,19.52,1013.7,102400000,4.69,7.7,12.5,13.37,16.97,10.81,415.56
2025-06-02 00:00:00+00:00,30.91,19.68,1013.7,102400000,4.69,7.7,12.5,14.33,17.96,11.71,413.95
2025-06-02 00:00:00+00:00,30.7,19.78,1013.69,102400000,4.69,7.7,13.64,14.33,17.96,11.71,423.09
2025-06-02 00:00:00+00:00,30.49,19.89,1013.69,102400000,5.87,7.7,13.64,14.33,17.96,11.71,423.09
